timestamp,price,usdt_balance,btc_balance,total_assets,total_fees,profit_pct,trend_score,volatility
2025-02-12 07:35:56.160,96184.23,950.3207429101999,0.00052,1000.3365425101999,0.1512138898,0.03365425101999335,0.06757509248465894,0.6335827323261107
2025-02-12 07:38:07.232,96144.42,950.3207429101999,0.00052,1000.3158413101999,0.1512138898,0.031584131019985764,-0.12185040826077022,0.3571687516669408
2025-02-12 07:40:18.304,96207.25,950.3207429101999,0.00052,1000.3485129101999,0.1512138898,0.03485129101999292,0.03875477779490778,0.7688350629999194
2025-02-12 07:42:29.376,96144.42,950.3207429101999,0.00052,1000.3158413101999,0.1512138898,0.031584131019985764,-0.09199012343452917,0.3482483429658986
2025-02-12 07:44:40.448,96274.5,950.3207429101999,0.00052,1000.3834829101999,0.1512138898,0.038348291019985936,0.233127975855003,1.078450397451087
2025-02-12 07:46:51.520,96246.37,950.3207429101999,0.00052,1000.3688553101999,0.1512138898,0.036885531019993326,0.11453683949981039,0.8702892929692201
2025-02-12 07:49:02.592,96144.42,950.3207429101999,0.00052,1000.3158413101999,0.1512138898,0.031584131019985764,-0.0538206358083836,0.318487126479663
2025-02-12 07:51:13.664,96209.46,950.3207429101999,0.00052,1000.3496621101999,0.1512138898,0.03496621101999153,0.18507356043694084,0.688037195097779
2025-02-12 07:53:24.736,96205.09,950.3207429101999,0.00052,1000.3473897101999,0.1512138898,0.03473897101998773,0.14997887354338313,0.6468678588374411
2025-02-12 07:55:35.808,96144.42,950.3207429101999,0.00052,1000.3158413101999,0.1512138898,0.031584131019985764,0.038637210869183855,0.30239524911584237
2025-02-12 07:57:46.880,96146.61,950.3207429101999,0.00052,1000.3169801101999,0.1512138898,0.03169801101998928,0.07022565861123306,0.31385262065872865
2025-02-12 07:59:57.952,96148.87,950.3207429101999,0.00052,1000.3181553101999,0.1512138898,0.0318155310199927,0.04467747017342383,0.3247799400465538
2025-02-12 08:02:09.024,99600.0,1002.0609509101998,0.0,1002.1127429101999,0.2030058898,0.2112742910199927,1.6070299399915688,1.5879117231408897
2025-02-12 08:04:20.096,99732.98,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,1.5438850527070793,1.2651300282097064
2025-02-12 08:06:31.168,96144.42,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,0.12799175042806743,0.40918676700477774
2025-02-12 08:08:42.240,96144.42,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,0.1386491002467298,0.4097527847985257
2025-02-12 08:10:53.312,96271.91,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,-0.16960080635050104,0.43859373936718526
2025-02-12 08:13:04.384,96231.67,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,-0.18150626593777996,0.4278439376775181
2025-02-12 08:15:15.456,96144.42,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,0.13217898773697967,0.40767920549631903
2025-02-12 08:17:26.528,96144.42,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,0.13553450904947772,0.40770838098725093
2025-02-12 08:19:37.600,96148.93,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,-0.19740731900190975,0.4092606881136735
2025-02-12 08:21:48.672,96294.76,1002.0609509101998,0.0,1002.0609509101998,0.2030058898,0.20609509101998355,0.15643316801446439,0.442162070783341
