timestamp,price,usdt_balance,btc_balance,total_assets,profit_pct
2025-02-16 03:44:59.392,107221.38,1000.0,0.0,1000.0,0.0
2025-02-16 03:49:21.536,107304.55,1000.0,0.0,1000.0,0.0
2025-02-16 03:55:54.752,107299.13,1000.0,0.0,1000.0,0.0
2025-02-16 04:00:16.896,107304.58,1000.0,0.0,1000.0,0.0
2025-02-16 04:04:39.040,107301.26,1000.0,0.0,1000.0,0.0
2025-02-16 04:09:01.184,107301.26,1000.0,0.0,1000.0,0.0
2025-02-16 04:15:34.400,107301.26,974.2476976,0.00024,1000.0,0.0
2025-02-16 04:19:56.544,107301.26,1000.0,0.0,1000.0,0.0
2025-02-16 04:24:18.688,107301.26,974.2476976,0.00024,1000.0,0.0
2025-02-16 04:30:51.904,107301.26,1000.0,0.0,1000.0,0.0
2025-02-16 04:35:14.048,107301.26,1000.0,0.0,1000.0,0.0
2025-02-16 04:39:36.192,107301.26,1000.0,0.0,1000.0,0.0
2025-02-16 04:43:58.336,107301.26,1000.0,0.0,1000.0,0.0
2025-02-16 04:50:31.552,107199.54,1000.0,0.0,1000.0,0.0
2025-02-16 04:54:53.696,107199.54,1000.0,0.0,1000.0,0.0
2025-02-16 04:59:15.840,107071.3,1000.0,0.0,1000.0,0.0
2025-02-16 05:05:49.056,107122.78,1000.0,0.0,1000.0,0.0
2025-02-16 05:10:11.200,107129.48,974.2889248,0.00024,1000.0,0.0
2025-02-16 05:14:33.344,107192.84,974.2889248,0.00024,1000.0152064,0.0015206400000010944
2025-02-16 05:18:55.488,107124.34,974.2889248,0.00024,999.9987664,-0.00012335999999777414
2025-02-16 05:25:28.704,107055.46,999.9822352,0.0,999.9822352,-0.0017764800000009018
2025-02-16 05:29:50.848,107186.91,974.2573768,0.00024,999.9822352,-0.0017764800000009018
2025-02-16 05:34:12.992,107182.94,999.9812823999999,0.0,999.9812823999999,-0.0018717600000059064
2025-02-16 05:40:46.208,107200.5,974.2531624,0.00024,999.9812823999999,-0.0018717600000059064
2025-02-16 05:45:08.352,107387.62,974.2531624,0.00024,1000.0261912,0.0026191199999971103
2025-02-16 05:49:30.496,107376.6,974.2531624,0.00024,1000.0235464,0.0023546399999986533
2025-02-16 05:56:03.712,107376.6,974.2531624,0.00024,1000.0235464,0.0023546399999986533
2025-02-16 06:00:25.856,107376.6,974.2531624,0.00024,1000.0235464,0.0023546399999986533
2025-02-16 06:04:48.000,104396.4,999.3082983999999,0.0,999.3082983999999,-0.06917016000001014
2025-02-16 06:09:10.144,103733.19,973.3750008999999,0.00025,999.3082983999999,-0.06917016000001014
2025-02-16 06:15:43.360,103821.9,973.3750008999999,0.00025,999.3304758999999,-0.06695241000001034
2025-02-16 06:20:05.504,101366.29,998.7165733999999,0.0,998.7165733999999,-0.1283426600000098
2025-02-16 06:24:27.648,101916.51,973.2374458999999,0.00025,998.7165733999999,-0.1283426600000098
2025-02-16 06:31:00.864,101703.88,973.2374458999999,0.00025,998.6634158999999,-0.13365841000000955
2025-02-16 06:35:23.008,101687.45,973.2374458999999,0.00025,998.6593083999999,-0.13406916000001273
2025-02-16 06:39:45.152,104464.89,999.3536684,0.0,999.3536684,-0.06463316000000532
2025-02-16 06:44:07.296,105116.29,974.1257588,0.00024,999.3536684,-0.06463316000000532
2025-02-16 06:50:40.512,103932.92,999.0696596,0.0,999.0696596,-0.09303403999999774
2025-02-16 06:55:02.656,104510.95,973.9870316,0.00024,999.0696596,-0.09303403999999774
2025-02-16 06:59:24.800,103932.92,998.9309324000001,0.0,998.9309324000001,-0.10690675999999258
2025-02-16 07:05:58.016,104620.49,998.9309324000001,0.0,998.9309324000001,-0.10690675999999258
2025-02-16 07:10:20.160,104632.91,998.9309324000001,0.0,998.9309324000001,-0.10690675999999258
2025-02-16 07:14:42.304,104867.97,973.7626196000001,0.00024,998.9309324000001,-0.10690675999999258
2025-02-16 07:19:04.448,106294.51,999.2733020000001,0.0,999.2733020000001,-0.0726697999999942
2025-02-16 07:25:37.664,104624.29,974.1634724,0.00024,999.2733020000001,-0.0726697999999942
2025-02-16 07:29:59.808,104761.86,974.1634724,0.00024,999.3063188000001,-0.06936811999999008
2025-02-16 07:34:21.952,104866.24,974.1634724,0.00024,999.3313700000001,-0.06686299999998936
2025-02-16 07:40:55.168,105099.57,974.1634724,0.00024,999.3873692000001,-0.06126307999999199
2025-02-16 07:45:17.312,105099.57,974.1634724,0.00024,999.3873692000001,-0.06126307999999199
2025-02-16 07:49:39.456,105250.55,974.1634724,0.00024,999.4236044,-0.057639559999995524
2025-02-16 07:54:01.600,105099.57,974.1634724,0.00024,999.3873692000001,-0.06126307999999199
2025-02-16 08:00:34.816,104632.91,974.1634724,0.00024,999.2753708,-0.07246291999999811
2025-02-16 08:04:56.960,103132.49,998.9152700000001,0.0,998.9152700000001,-0.10847299999999223
2025-02-16 08:09:19.104,101710.33,973.4876875000001,0.00025,998.9152700000001,-0.10847299999999223
2025-02-16 08:15:52.320,104404.64,999.5888475000002,0.0,999.5888475000002,-0.041115249999984366
2025-02-16 08:20:14.464,105160.29,974.3503779000001,0.00024,999.5888475000002,-0.041115249999984366
2025-02-16 08:24:36.608,105133.29,999.5823675000001,0.0,999.5823675000001,-0.04176324999998542
2025-02-16 08:28:58.752,105080.1,999.5823675000001,0.0,999.5823675000001,-0.04176324999998542
2025-02-16 08:35:31.968,104987.49,974.3853699000001,0.00024,999.5823675000001,-0.04176324999998542
2025-02-16 08:39:54.112,105313.42,974.3853699000001,0.00024,999.6605907000001,-0.0339409299999943
2025-02-16 08:44:16.256,105391.2,974.3853699000001,0.00024,999.6792579000002,-0.03207420999998476
2025-02-16 08:50:49.472,105318.08,974.3853699000001,0.00024,999.6617091000002,-0.03382908999998335
2025-02-16 08:55:11.616,105406.78,974.3853699000001,0.00024,999.6829971000001,-0.03170028999999204
2025-02-16 08:59:33.760,105326.82,974.3853699000001,0.00024,999.6638067000001,-0.033619329999987714
2025-02-16 09:03:55.904,105513.03,974.3853699000001,0.00024,999.7084971000002,-0.029150289999984126
2025-02-16 09:10:29.120,105479.27,974.3853699000001,0.00024,999.7003947000001,-0.02996052999999392
2025-02-16 09:14:51.264,105260.98,974.3853699000001,0.00024,999.6480051000001,-0.035199489999990875
2025-02-16 09:19:13.408,105988.04,974.3853699000001,0.00024,999.8224995000002,-0.01775004999998373
2025-02-16 09:25:46.624,105912.19,974.3853699000001,0.00024,999.8042955000001,-0.01957044999999198
2025-02-16 09:30:08.768,106204.11,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 09:34:30.912,106033.44,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 09:41:04.128,106341.2,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 09:45:26.272,106876.26,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 09:49:48.416,106957.29,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 09:54:10.560,106907.33,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 10:00:43.776,107056.81,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 10:05:05.920,106911.92,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 10:09:28.064,107027.81,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 10:16:01.280,106941.82,999.8743563000002,0.0,999.8743563000002,-0.012564369999984136
2025-02-16 10:20:23.424,104710.25,974.7438963000002,0.00024,999.8743563000002,-0.012564369999984136
2025-02-16 10:24:45.568,104866.24,974.7438963000002,0.00024,999.9117939000002,-0.008820609999975203
2025-02-16 10:29:07.712,106801.04,1000.3761459000002,0.0,1000.3761459000002,0.03761459000002105
2025-02-16 10:35:40.928,106911.69,1000.3761459000002,0.0,1000.3761459000002,0.03761459000002105
2025-02-16 10:40:03.072,107000.0,1000.3761459000002,0.0,1000.3761459000002,0.03761459000002105
2025-02-16 10:44:25.216,106853.46,974.7313155000002,0.00024,1000.3761459000002,0.03761459000002105
2025-02-16 10:50:58.432,106839.97,974.7313155000002,0.00024,1000.3729083000002,0.03729083000001765
2025-02-16 10:55:20.576,106845.73,974.7313155000002,0.00024,1000.3742907000002,0.03742907000001878
2025-02-16 10:59:42.720,106844.4,1000.3739715000002,0.0,1000.3739715000002,0.03739715000001525
2025-02-16 11:04:04.864,106946.64,1000.3739715000002,0.0,1000.3739715000002,0.03739715000001525
2025-02-16 11:10:38.080,106946.64,1000.3739715000002,0.0,1000.3739715000002,0.03739715000001525
2025-02-16 11:15:00.224,106852.53,1000.3739715000002,0.0,1000.3739715000002,0.03739715000001525
2025-02-16 11:19:22.368,106956.93,1000.3739715000002,0.0,1000.3739715000002,0.03739715000001525
2025-02-16 11:25:55.584,101625.0,1000.3739715000002,0.0,1000.3739715000002,0.03739715000001525
2025-02-16 11:30:17.728,103318.51,1000.3739715000002,0.0,1000.3739715000002,0.03739715000001525
2025-02-16 11:34:39.872,101750.0,974.9364715000002,0.00025,1000.3739715000002,0.03739715000001525
2025-02-16 11:39:02.016,102425.52,974.9364715000002,0.00025,1000.5428515000001,0.05428515000000971
2025-02-16 11:45:35.232,102375.0,974.9364715000002,0.00025,1000.5302215000002,0.05302215000001525
2025-02-16 11:49:57.376,102535.21,974.9364715000002,0.00025,1000.5702740000002,0.0570274000000154
2025-02-16 11:54:19.520,102125.0,974.9364715000002,0.00025,1000.4677215000002,0.04677215000001524
2025-02-16 12:00:52.736,103932.92,1000.9197015000002,0.0,1000.9197015000002,0.09197015000002012
2025-02-16 12:05:14.880,103806.78,974.9680065000002,0.00025,1000.9197015000002,0.09197015000002012
2025-02-16 12:09:37.024,101614.87,1000.3717240000002,0.0,1000.3717240000002,0.03717240000001994
2025-02-16 12:13:59.168,104393.57,975.3172672000002,0.00024,1000.3717240000002,0.03717240000001994
2025-02-16 12:20:32.384,105260.87,1000.5798760000001,0.0,1000.5798760000001,0.057987600000012664
2025-02-16 12:24:54.528,105270.05,1000.5798760000001,0.0,1000.5798760000001,0.057987600000012664
2025-02-16 12:29:16.672,101477.37,1000.5798760000001,0.0,1000.5798760000001,0.057987600000012664
2025-02-16 12:35:49.888,92935.35,975.4873315000001,0.00027,1000.5798760000001,0.057987600000012664
2025-02-16 12:40:12.032,105479.27,1003.9667344000001,0.0,1003.9667344000001,0.39667344000000637
2025-02-16 12:44:34.176,99999.0,977.9669944000001,0.00026,1003.9667344000001,0.39667344000000637
2025-02-16 12:48:56.320,92962.25,1002.1371794,0.0,1002.1371794,0.21371794000000366
2025-02-16 12:55:29.536,89756.18,977.005449,0.00028,1002.1371794,0.21371794000000366
2025-02-16 12:59:51.680,91734.38,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:04:13.824,92806.55,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:10:47.040,95058.82,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:15:09.184,95399.96,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:19:31.328,96923.29,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:26:04.544,97127.91,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:30:26.688,97127.91,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:34:48.832,97002.76,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:39:10.976,96929.8,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:45:44.192,96949.53,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:50:06.336,96799.62,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 13:54:28.480,96696.42,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 14:01:01.696,96772.5,1002.6910754,0.0,1002.6910754,0.26910754000000453
2025-02-16 14:05:23.840,95489.22,976.908986,0.00027,1002.6910754,0.26910754000000453
2025-02-16 14:09:45.984,96699.69,1003.0179023000001,0.0,1003.0179023000001,0.301790230000006
2025-02-16 14:14:08.128,88743.03,977.2824236,0.00029,1003.0179023000001,0.301790230000006
2025-02-16 14:20:41.344,96821.49,1005.3606557,0.0,1005.3606557,0.5360655700000052
2025-02-16 14:25:03.488,96887.18,980.1699889,0.00026,1005.3606557,0.5360655700000052
2025-02-16 14:29:25.632,96823.11,980.1699889,0.00026,1005.3439975,0.5343997500000001
2025-02-16 14:35:58.848,96878.36,980.1699889,0.00026,1005.3583625,0.5358362499999998
2025-02-16 14:40:20.992,96966.07,980.1699889,0.00026,1005.3811671,0.5381167099999971
2025-02-16 14:44:43.136,96761.31,980.1699889,0.00026,1005.3279295,0.5327929499999982
2025-02-16 14:49:05.280,96825.03,980.1699889,0.00026,1005.3444967,0.5344496700000037
2025-02-16 14:55:38.496,96814.6,980.1699889,0.00026,1005.3417849,0.5341784899999993
2025-02-16 15:00:00.640,97056.85,980.1699889,0.00026,1005.4047699,0.5404769900000019
2025-02-16 15:04:22.784,96973.09,980.1699889,0.00026,1005.3829923000001,0.5382992300000069
2025-02-16 15:10:56.000,96979.88,980.1699889,0.00026,1005.3847577,0.5384757700000022
2025-02-16 15:15:18.144,96962.22,980.1699889,0.00026,1005.3801661,0.5380166099999997
2025-02-16 15:19:40.288,97147.92,980.1699889,0.00026,1005.4284481,0.542844809999997
2025-02-16 15:24:02.432,97177.98,980.1699889,0.00026,1005.4362637,0.5436263700000041
