timestamp,price,usdt_balance,btc_balance,total_assets,profit_pct,trend_score,volatility
2025-02-09 17:44:24.832,96106.55,1000.0,0.0,1000.0,0.0,0.19214659272608514,-0.005243641973293266
2025-02-09 17:46:35.904,96187.97,1000.0,0.0,1000.0,0.0,-0.18053507840790292,0.1850584634233504
2025-02-09 17:48:46.976,96128.5,1000.0,0.0,1000.0,0.0,1.3264162204736731,0.09076345423995683
2025-02-09 17:50:58.048,96066.87,974.0619451,0.00027,1000.0,0.0,-3.4454502495400954,0.022420173120289582
2025-02-09 17:53:09.120,96184.91,974.0619451,0.00027,1000.0318708,0.003187079999997877,-1.5045257223898527,0.25583368733286005
2025-02-09 17:55:20.192,96113.19,974.0619451,0.00027,1000.0125064,0.0012506400000006578,-2.038244900822908,0.1526954379235052
2025-02-09 17:57:31.264,96113.19,974.0619451,0.00027,1000.0125064,0.0012506400000006578,-0.3347940762024407,0.18408733681476552
2025-02-09 17:59:42.336,96185.22,974.0619451,0.00027,1000.0319545,0.0031954499999983454,-1.933264728488066,0.3232788188874051
2025-02-09 18:01:53.408,96088.97,974.0619451,0.00027,1000.005967,0.0005967000000055123,-2.6764097623856933,0.18368772701556085
2025-02-09 18:04:04.480,96070.86,1000.0010773,0.0,1000.0010773,0.00010773000000199318,0.6485887655563674,0.17805909310390505
2025-02-09 18:06:15.552,96300.0,974.9630773,0.00026,1000.0010773,0.00010773000000199318,-1.199000009302611,0.6053099389812625
2025-02-09 18:08:26.624,96184.17,974.9630773,0.00026,999.9709615,-0.0029038499999956002,-1.4758810863118221,0.40519272035166426
2025-02-09 18:10:37.696,96225.46,974.9630773,0.00026,999.9816969,-0.0018303100000025552,-2.5159041030590292,0.5120127350835427
2025-02-09 18:12:48.768,96170.56,974.9630773,0.00026,999.9674229,-0.0032577100000025895,-2.989862748602068,0.4138689724501823
2025-02-09 18:14:59.840,96075.09,974.9630773,0.00026,999.9426007,-0.0057399300000042786,-1.8079655932810392,0.20154982321421558
2025-02-09 18:17:10.912,96115.84,974.9630773,0.00026,999.9531957,-0.00468042999999625,-1.203983425636082,0.32645674898622684
2025-02-09 18:19:21.984,96126.38,974.9630773,0.00026,999.9559361,-0.004406389999996918,-2.5424600339945416,0.3730266292823048
2025-02-09 18:21:33.056,96213.77,974.9630773,0.00026,999.9786575,-0.0021342499999946088,0.023733591370358798,0.6925283126627221
2025-02-09 18:23:44.128,96049.78,974.9630773,0.00026,999.9360201,-0.006397990000004939,-2.8713636352326355,0.12814864636007423
2025-02-09 18:25:55.200,96128.92,974.9630773,0.00026,999.9565965,-0.004340349999995397,-8.268746777425058,0.4477906432525027
2025-02-09 18:28:06.272,96124.9,974.9630773,0.00026,999.9555513,-0.004444869999997536,-5.659262282715295,0.4273258347353825
2025-02-09 18:30:17.344,96137.01,974.9630773,0.00026,999.9586999,-0.004130009999994399,-4.41872910224321,0.4868912946922015
2025-02-09 18:32:28.416,96114.93,974.9630773,0.00026,999.9529591,-0.004704089999995631,-0.5781557970548754,0.3987173598427193
2025-02-09 18:34:39.488,96057.21,974.9630773,0.00026,999.9379519,-0.006204809999996996,-1.3242904705426308,0.16615224192846725
2025-02-09 18:36:50.560,96144.46,974.9630773,0.00026,999.9606369,-0.003936309999994591,-1.4892024588123949,0.530909276050975
2025-02-09 18:39:01.632,96210.07,974.9630773,0.00026,999.9776955,-0.002230450000001838,-1.8929849602305413,0.7745433954432475
2025-02-09 18:41:12.704,96123.35,974.9630773,0.00026,999.9551483,-0.004485169999998107,-0.8155650028149262,0.4233177668861657
2025-02-09 18:43:23.776,95926.02,999.9038425,0.0,999.9038425,-0.00961575000000039,0.3267367264602914,-0.16100592865631905
2025-02-09 18:45:34.848,95929.98,999.9038425,0.0,999.9038425,-0.00961575000000039,0.05297852517684282,-0.04337643168930314
2025-02-09 18:47:45.920,95952.73,973.9966054,0.00027,999.9038425,-0.00961575000000039,-0.5346131130114008,0.07144862620562356
2025-02-09 18:49:56.992,95852.89,973.9966054,0.00027,999.8768857,-0.012311429999999747,-0.13183664482763258,-0.09283793976034478
2025-02-09 18:52:08.064,95890.44,973.9966054,0.00027,999.8870242,-0.011297579999995833,0.19798488556098848,0.06523872418915462
2025-02-09 18:54:19.136,95963.44,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,1.01658225588457,0.25812045557990704
2025-02-09 18:56:30.208,95973.16,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,9.683103750722529,0.30258705801363955
2025-02-09 18:58:41.280,96008.13,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,9.039812742679201,0.3948304024405135
2025-02-09 19:00:52.352,96120.55,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,7.434261879783839,0.6624992745451923
2025-02-09 19:03:03.424,95999.7,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,2.3376550303774253,0.38852909095465527
2025-02-09 19:05:14.496,96182.45,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,2.7474949588166275,0.8391852111553957
2025-02-09 19:07:25.568,96190.27,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,3.696584858774544,0.8255822099429332
2025-02-09 19:09:36.640,96152.23,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,3.1860044995144494,0.7314845415085331
2025-02-09 19:11:47.712,96284.03,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,2.6695147980076386,0.9735460127575479
2025-02-09 19:13:58.784,96295.25,999.9067342000001,0.0,999.9067342000001,-0.009326579999992646,2.109456744653823,0.94382035270651
